Bambara
Guinea-Bissau Creole
Jola-Fonyi
Karon
Krio
Mandinka
Mandjak
Maninkakan, Western
Mankanya
Mansoanka
N'ko
Pulaar
Serahule
Serer-Sine
Wolof, Gambian
Xasonga
