Abron
Ahanta
Akan
Bimoba
Buli
Dagaare
Dagbani
Dangme
Ewe 
Farefare
Ga
Gonja
Konkomba
Kusaal
Mampruli
Ntcham
Nzema
Sehwi
Sisaala
Wasa
