Bandi
Bassa
Dan
Dewoin
Gbii
Glaro-Twabo
Glio-Oubi
Gola
Grebo
Kisi
Klao
Kpelle
Krahn
Krumen
Kuwaa
Loma
Maninka
Mann
Manya
Mende
Sapo
Tajuasohn
Vai
