Bambara 
Birifor 
Bissa 
Bobo 
Bolon 
Bomu 
Buamu 
Burkina Sign 
Bwa s
Cerma 
Cwi Bwamu 
Dagaare 
Dyula 
Doghose 
Dogon s
Dogoso 
Dyan 
Fula 
Gourmanché 
Hausa 
Humburi Senni 
Jeri 
Kaansa 
Kalamsé 
Karaboro s
Kasena 
Khe 
Khisa 
Kpee 
Láá Láá Bwamu 
Lobi 
Lyélé 
Marka 
Mossi 
Nabit 
Nanerigé 
Natioro 
Nuni 
Paleni 
Pana  (Gur)
Puguli 
Samo  (Burkina)
Samwe 
Sembla 
Senara 
Siamou 
Sininkere 
Sucite 
Syer-Tenyer 
Tagwana–Djimini s
Talni 
Tamasheq 
Turka 
Tusya 
Varieties of American Sign 
Vyemo 
Western Plains Dogon
Winye 
