Badyara
Bainouk-Gunyuño
Balanta-Kentohe
Bassari
Bayot
Biafada
Bijago
Fula
Creole
Jola-Felupe
Jola-Fonyi
Kasanga
Kobiana
Mandinka
Manjak
Mankanya
Mansoanka
Nalu
Papel
Soninke
